questions,answers,questions_with_answers,entity,image_ids
@georgelopez when u coming to #Texas ? When u do be safe http://t.co/7iON87PJd6 Which word(s) correspond to the location in the sentence? ,#Texas,@georgelopez when u coming to #Texas ? When u do be safe http://t.co/7iON87PJd6 Which word(s) correspond to the location in the sentence? Answer: #Texas,location,118061.jpg
RT @timring3TV : Meet Coyotes high-level prospect Anthony Duclair tonight at 6 : 25 on @3TVSports http://t.co/BJIWG3QrTi Which word(s) correspond to the organization in the sentence? ,Coyotes,RT @timring3TV : Meet Coyotes high-level prospect Anthony Duclair tonight at 6 : 25 on @3TVSports http://t.co/BJIWG3QrTi Which word(s) correspond to the organization in the sentence? Answer: Coyotes,organization,423017.jpg
RT @WeIsNotreDame : Are we sure Jameis wasn ' t a child film star ? #Bangerang http://t.co/cZAKW3GjeV Which word(s) correspond to the person in the sentence? ,Jameis,RT @WeIsNotreDame : Are we sure Jameis wasn ' t a child film star ? #Bangerang http://t.co/cZAKW3GjeV Which word(s) correspond to the person in the sentence? Answer: Jameis,person,64617.jpg
RT @SundayTimesZA : MTN strike is over http://t.co/bSUU83HEhN http://t.co/rHun74xwMS Which word(s) correspond to the organization in the sentence? ,MTN,RT @SundayTimesZA : MTN strike is over http://t.co/bSUU83HEhN http://t.co/rHun74xwMS Which word(s) correspond to the organization in the sentence? Answer: MTN,organization,1700095.jpg
From such great heights . . . #chicago showing off from the Leo Burnett building roof #skyline #pano http://t.co/P76D98dwHo Which word(s) correspond to the organization in the sentence? ,Leo Burnett,From such great heights . . . #chicago showing off from the Leo Burnett building roof #skyline #pano http://t.co/P76D98dwHo Which word(s) correspond to the organization in the sentence? Answer: Leo Burnett,organization,73183.jpg
"RT "" @BeschlossDC : Here is opening day at Fenway , oldest MLB park , 102 years ago : #NBHF @kristencastillo @RedSox http://t.co/jbIvxuf4IY"" Which word(s) correspond to the location in the sentence? ",Fenway,"RT "" @BeschlossDC : Here is opening day at Fenway , oldest MLB park , 102 years ago : #NBHF @kristencastillo @RedSox http://t.co/jbIvxuf4IY"" Which word(s) correspond to the location in the sentence? Answer: Fenway",location,71477.jpg
"Delicious chicken biscuits at @StompDelRay in Del Ray , loving this new restaurant ! #brunch #shoplocal #southern http://t.co/CNSnYVuIJ7 Which word(s) correspond to the location in the sentence? ",Del Ray,"Delicious chicken biscuits at @StompDelRay in Del Ray , loving this new restaurant ! #brunch #shoplocal #southern http://t.co/CNSnYVuIJ7 Which word(s) correspond to the location in the sentence? Answer: Del Ray",location,544831.jpg
Another stunning year in photos from @petesouza and the White House photo team http://t.co/QYF1Xyi7yE http://t.co/7ShwoqNnLp Which word(s) correspond to the location in the sentence? ,White House,Another stunning year in photos from @petesouza and the White House photo team http://t.co/QYF1Xyi7yE http://t.co/7ShwoqNnLp Which word(s) correspond to the location in the sentence? Answer: White House,location,72018.jpg
RT @christophclarey : Photo of Helmut Kohl at the Brandenburg gate . Gives you chills . From @BILD via @JPhLeclaire https : //t . co/PmVMKit9hG Which word(s) correspond to the person in the sentence? ,Helmut Kohl,RT @christophclarey : Photo of Helmut Kohl at the Brandenburg gate . Gives you chills . From @BILD via @JPhLeclaire https : //t . co/PmVMKit9hG Which word(s) correspond to the person in the sentence? Answer: Helmut Kohl,person,34822.jpg
Hello from VEGAS . Oh yeah . And the Grand Canyon . http://t.co/dXFind87 Which word(s) correspond to the location in the sentence? ,VEGAS,Hello from VEGAS . Oh yeah . And the Grand Canyon . http://t.co/dXFind87 Which word(s) correspond to the location in the sentence? Answer: VEGAS,location,1752217.jpg
RT @TomBradysEgo : Dez Bryant post-game interview http://t.co/qljpD1Il68 Which word(s) correspond to the person in the sentence? ,Dez Bryant,RT @TomBradysEgo : Dez Bryant post-game interview http://t.co/qljpD1Il68 Which word(s) correspond to the person in the sentence? Answer: Dez Bryant,person,523400.jpg
The good news with the cloud cover is that the @NWSSPC trimmed the area for severe wx down to Delaware . @PIX11News http://t.co/8UJiUGhzaL Which word(s) correspond to the location in the sentence? ,Delaware,The good news with the cloud cover is that the @NWSSPC trimmed the area for severe wx down to Delaware . @PIX11News http://t.co/8UJiUGhzaL Which word(s) correspond to the location in the sentence? Answer: Delaware,location,478919.jpg
"RT @WesleyLowery : *Donald Trump burst through the wall of the #votersfirst forum , secures victory as GOP nominee* http://t.co/k2FrNH8DCB Which word(s) correspond to the organization in the sentence? ",GOP,"RT @WesleyLowery : *Donald Trump burst through the wall of the #votersfirst forum , secures victory as GOP nominee* http://t.co/k2FrNH8DCB Which word(s) correspond to the organization in the sentence? Answer: GOP",organization,616876.jpg
"chair genetics - didnt you always wonder where your chair came from ? MAD , Jan Habraken http://t.co/ayTevdhKBY Which word(s) correspond to the organization in the sentence? ",MAD,"chair genetics - didnt you always wonder where your chair came from ? MAD , Jan Habraken http://t.co/ayTevdhKBY Which word(s) correspond to the organization in the sentence? Answer: MAD",organization,1778893.jpg
Bowes Museum - Barnard Castle #CountyDurham http://t.co/EnDh02Ozb3 http://t.co/q2rMgTwlTa Which word(s) correspond to the location in the sentence? ,Bowes Museum,Bowes Museum - Barnard Castle #CountyDurham http://t.co/EnDh02Ozb3 http://t.co/q2rMgTwlTa Which word(s) correspond to the location in the sentence? Answer: Bowes Museum,location,13293.jpg
RT @Little _ Interest : My milk is best if used by Mario . #MildyInteresting http://t.co/BrqIzRjNuc Which word(s) correspond to the misceallonous entity in the sentence? ,Mario,RT @Little _ Interest : My milk is best if used by Mario . #MildyInteresting http://t.co/BrqIzRjNuc Which word(s) correspond to the misceallonous entity in the sentence? Answer: Mario,misceallonous entity,1450983.jpg
. @Adidas &amp ; @Nike compete in race to build factories in the US http://t.co/XiM3CPl2XZ #MadeinUSA http://t.co/k0OUckdFGk Which word(s) correspond to the location in the sentence? ,US,. @Adidas &amp ; @Nike compete in race to build factories in the US http://t.co/XiM3CPl2XZ #MadeinUSA http://t.co/k0OUckdFGk Which word(s) correspond to the location in the sentence? Answer: US,location,813550.jpg
"RT @radiogeyser : at the Christmas Market in Munich , Germany today . . . http://t.co/dYBRA4xYSs Which word(s) correspond to the misceallonous entity in the sentence? ",Christmas Market,"RT @radiogeyser : at the Christmas Market in Munich , Germany today . . . http://t.co/dYBRA4xYSs Which word(s) correspond to the misceallonous entity in the sentence? Answer: Christmas Market",misceallonous entity,500405.jpg
@Louis _ Garneau Join I Am Able : a handicap cycling team that originated in Rwanda . http://t.co/QiOv8kyN7Q http://t.co/BDxPF9TjS4 Which word(s) correspond to the location in the sentence? ,Rwanda,@Louis _ Garneau Join I Am Able : a handicap cycling team that originated in Rwanda . http://t.co/QiOv8kyN7Q http://t.co/BDxPF9TjS4 Which word(s) correspond to the location in the sentence? Answer: Rwanda,location,446463.jpg
Please welcome Ann Meyerhoff to the City ! Ann started as an office assistant last month . http://t.co/SxVRpQg61B Which word(s) correspond to the person in the sentence? ,Ann Meyerhoff,Please welcome Ann Meyerhoff to the City ! Ann started as an office assistant last month . http://t.co/SxVRpQg61B Which word(s) correspond to the person in the sentence? Answer: Ann Meyerhoff,person,728695.jpg
RT @DepressedDarth : Mexico fans right now #NEDvsMEX http://t.co/l6quBFrkUi Which word(s) correspond to the location in the sentence? ,Mexico,RT @DepressedDarth : Mexico fans right now #NEDvsMEX http://t.co/l6quBFrkUi Which word(s) correspond to the location in the sentence? Answer: Mexico,location,31921.jpg
RT @XXL : Diddy is putting together an animated series for FX : http://t.co/dmEwxvRwKj http://t.co/BlAYq14BnF Which word(s) correspond to the person in the sentence? ,Diddy,RT @XXL : Diddy is putting together an animated series for FX : http://t.co/dmEwxvRwKj http://t.co/BlAYq14BnF Which word(s) correspond to the person in the sentence? Answer: Diddy,person,130765.jpg
RT @BerniceBelle : Selfies with the birthday boy #Aaron http://t.co/5wN4ZBsOoM Which word(s) correspond to the person in the sentence? ,#Aaron,RT @BerniceBelle : Selfies with the birthday boy #Aaron http://t.co/5wN4ZBsOoM Which word(s) correspond to the person in the sentence? Answer: #Aaron,person,1947120.jpg
Girl and sea . . by Alexi Zaitsev http://t.co/Yqt5bw2IEo Which word(s) correspond to the misceallonous entity in the sentence? ,Girl sea and,Girl and sea . . by Alexi Zaitsev http://t.co/Yqt5bw2IEo Which word(s) correspond to the misceallonous entity in the sentence? Answer: Girl sea and,misceallonous entity,1826807.jpg
RT @volkskrant : Dode en gewonden bij brand olieplatform Mexico http://t.co/SWPW0vQX72 http://t.co/KbueVreswo Which word(s) correspond to the location in the sentence? ,Mexico,RT @volkskrant : Dode en gewonden bij brand olieplatform Mexico http://t.co/SWPW0vQX72 http://t.co/KbueVreswo Which word(s) correspond to the location in the sentence? Answer: Mexico,location,73371.jpg
This is How Twitter Wins or Goes to Zero . Period . http://t.co/NlFkBZKgKh http://t.co/NANfiNhZqr Which word(s) correspond to the organization in the sentence? ,Twitter,This is How Twitter Wins or Goes to Zero . Period . http://t.co/NlFkBZKgKh http://t.co/NANfiNhZqr Which word(s) correspond to the organization in the sentence? Answer: Twitter,organization,35600.jpg
Usually sceptical of celebrities : AngelinaJolie is different with consistent commitment- in tradition of . @miafarrow http://t.co/eiYsJDx67R Which word(s) correspond to the person in the sentence? ,AngelinaJolie,Usually sceptical of celebrities : AngelinaJolie is different with consistent commitment- in tradition of . @miafarrow http://t.co/eiYsJDx67R Which word(s) correspond to the person in the sentence? Answer: AngelinaJolie,person,14478.jpg
Afterburner on ! #22BLT #Malbork #Poland @Defensie _ BE @PLinNATO full pic http://t.co/4E0KJK5yhC http://t.co/hWNvi7PDzs Which word(s) correspond to the location in the sentence? ,#Malbork,Afterburner on ! #22BLT #Malbork #Poland @Defensie _ BE @PLinNATO full pic http://t.co/4E0KJK5yhC http://t.co/hWNvi7PDzs Which word(s) correspond to the location in the sentence? Answer: #Malbork,location,1064107.jpg
Photo essay : 28 things not to miss in Kenya http://t.co/xPWQk7fRnr via @manoukbob #ttot #photograhy #travel http://t.co/xWJH9YwrmH Which word(s) correspond to the location in the sentence? ,Kenya,Photo essay : 28 things not to miss in Kenya http://t.co/xPWQk7fRnr via @manoukbob #ttot #photograhy #travel http://t.co/xWJH9YwrmH Which word(s) correspond to the location in the sentence? Answer: Kenya,location,811913.jpg
RT @BruceVH : The greatest source of happiness is the ability to be grateful at all times . - Zig Ziglar http://t.co/3qyaM9ShQh Which word(s) correspond to the person in the sentence? ,Zig Ziglar,RT @BruceVH : The greatest source of happiness is the ability to be grateful at all times . - Zig Ziglar http://t.co/3qyaM9ShQh Which word(s) correspond to the person in the sentence? Answer: Zig Ziglar,person,137669.jpg
Celebrando independencia de Chile con @cristobalcobo y amigos y familia en Lima http://t.co/M5mOeOdZzY Which word(s) correspond to the misceallonous entity in the sentence? ,Celebrando,Celebrando independencia de Chile con @cristobalcobo y amigos y familia en Lima http://t.co/M5mOeOdZzY Which word(s) correspond to the misceallonous entity in the sentence? Answer: Celebrando,misceallonous entity,7780.jpg
RT @n0ctowl : why is kylie jenner slowly turning into joyce wildenstein http://t.co/2OzjPKlBed Which word(s) correspond to the person in the sentence? ,kylie jenner,RT @n0ctowl : why is kylie jenner slowly turning into joyce wildenstein http://t.co/2OzjPKlBed Which word(s) correspond to the person in the sentence? Answer: kylie jenner,person,16131.jpg
RT @ShawnMendes : Soo cool ! Thank you ! http://t.co/yfa33W11Qb Which word(s) correspond to the person in the sentence? ,Soo,RT @ShawnMendes : Soo cool ! Thank you ! http://t.co/yfa33W11Qb Which word(s) correspond to the person in the sentence? Answer: Soo,person,109233.jpg
Pam Crossland is making the garden beautiful ! ! ! She is amazing ! ! ! http://t.co/owx58G1EL9 Which word(s) correspond to the person in the sentence? ,Pam Crossland,Pam Crossland is making the garden beautiful ! ! ! She is amazing ! ! ! http://t.co/owx58G1EL9 Which word(s) correspond to the person in the sentence? Answer: Pam Crossland,person,1290540.jpg
"Success Summit delegates and coordinators , the Hotel Monaco awaits you ! See you soon ! @KimptonInDC http://t.co/AZlCLOVRdk Which word(s) correspond to the location in the sentence? ",Hotel Monaco,"Success Summit delegates and coordinators , the Hotel Monaco awaits you ! See you soon ! @KimptonInDC http://t.co/AZlCLOVRdk Which word(s) correspond to the location in the sentence? Answer: Hotel Monaco",location,1764202.jpg
"RT @chilltam : "" Michelle , quick ! Stop the car ! "" http://t.co/Ysr5UQKFfM Which word(s) correspond to the person in the sentence? ",Michelle,"RT @chilltam : "" Michelle , quick ! Stop the car ! "" http://t.co/Ysr5UQKFfM Which word(s) correspond to the person in the sentence? Answer: Michelle",person,10215.jpg
RT @mjesusgz : Painting by Loren D . Adams - #pintura #art #artwit #twitart #fineart #painting http://t.co/J8SEsdvxFN Which word(s) correspond to the person in the sentence? ,Loren,RT @mjesusgz : Painting by Loren D . Adams - #pintura #art #artwit #twitart #fineart #painting http://t.co/J8SEsdvxFN Which word(s) correspond to the person in the sentence? Answer: Loren,person,64468.jpg
RT @WESH : Video : Valencia College sued over forced vaginal exams http://t.co/ZkcRfbkGRl http://t.co/mp85G3BIBD Which word(s) correspond to the organization in the sentence? ,Valencia College,RT @WESH : Video : Valencia College sued over forced vaginal exams http://t.co/ZkcRfbkGRl http://t.co/mp85G3BIBD Which word(s) correspond to the organization in the sentence? Answer: Valencia College,organization,1751885.jpg
RT @StrataNL : Nice shot of HNLMS Tromp and HNLMS Van Amstel in Plymouth Sound by @AllanWarships @kon _ marine #marine #defensie http://t.co/t… Which word(s) correspond to the misceallonous entity in the sentence? ,HNLMS Tromp,RT @StrataNL : Nice shot of HNLMS Tromp and HNLMS Van Amstel in Plymouth Sound by @AllanWarships @kon _ marine #marine #defensie http://t.co/t… Which word(s) correspond to the misceallonous entity in the sentence? Answer: HNLMS Tromp,misceallonous entity,73331.jpg
